,time,title,company,location,job-link,company-link
30,2 weeks ago,Sr. Art Director,Rekrut by Talent 360,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/sr-art-director-at-rekrut-by-talent-360-3863222641?position=31&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=KguXJ%2FiGxRzbV1KrjvWDKQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/rekrut-talents?trk=public_jobs_jserp-result_job-search-card-subtitle
31,3 weeks ago,Senior Art Director,Viola Communications,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-art-director-at-viola-communications-3854113631?position=32&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=MC7H4MD37AlOfGLZSyva%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card,https://ae.linkedin.com/company/viola-communications?trk=public_jobs_jserp-result_job-search-card-subtitle
32,5 days ago,Purchasing Supervisor - Waldorf Astoria Heliopolis,Hilton,"Qesm Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/purchasing-supervisor-waldorf-astoria-heliopolis-at-hilton-3880081790?position=33&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=Klc3Q%2F3fH7XaEByXxAaD1w%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/hilton?trk=public_jobs_jserp-result_job-search-card-subtitle
33,3 days ago,Design and Rendering Specialist,PepsiCo,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/design-and-rendering-specialist-at-pepsico-3883363015?position=34&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=wDRhzCu%2B73nsqrV9H9x4XQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/pepsico?trk=public_jobs_jserp-result_job-search-card-subtitle
34,1 week ago,Junior Motion Graphics Designer,dentsu,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-motion-graphics-designer-at-dentsu-3742406335?position=35&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=eEGOo1dzmXA5vc6qPMo7ww%3D%3D&trk=public_jobs_jserp-result_search-card,https://jp.linkedin.com/company/dentsu?trk=public_jobs_jserp-result_job-search-card-subtitle
35,4 months ago,Senior Graphic Designer.,Rekrut by Talent 360,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-graphic-designer-at-rekrut-by-talent-360-3781607723?position=36&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=%2F03uOU0NG2nfLJUlN%2FFv2Q%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/rekrut-talents?trk=public_jobs_jserp-result_job-search-card-subtitle
36,2 weeks ago,Multimedia Designer,Hill & Knowlton,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/multimedia-designer-at-hill-knowlton-3790754038?position=37&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=Bzi4y%2BZNUelQJSNikDQyZA%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/hillandknowlton?trk=public_jobs_jserp-result_job-search-card-subtitle
37,5 days ago,Art Teacher - Secondary,Modern English School Cairo,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/art-teacher-secondary-at-modern-english-school-cairo-3878500292?position=38&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=5C1d2ZQKFH6dFQR4tgT%2FgQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/modern-english-school-cairo?trk=public_jobs_jserp-result_job-search-card-subtitle
38,3 weeks ago,Food & Beverage Coordinator - Waldorf Astoria Cairo Heliopolis,Hilton,"Qesm Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/food-beverage-coordinator-waldorf-astoria-cairo-heliopolis-at-hilton-3857356347?position=39&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=45OG0rQIcudEEJ5SkTMblA%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/hilton?trk=public_jobs_jserp-result_job-search-card-subtitle
39,4 days ago,Senior Graphic Designer,Chain Reaction,Egypt,https://eg.linkedin.com/jobs/view/senior-graphic-designer-at-chain-reaction-3881514747?position=40&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=g76mRUEGbYx9AKf%2B81JDMQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://ae.linkedin.com/company/chain-reaction-digital-services?trk=public_jobs_jserp-result_job-search-card-subtitle
